,Token_ID,Token,Lemma,POS,POS_TAG,Dependency_Head,Dependency_Label,idx_sent,Negation_cue,next,prev,trigram,trigram_list,prev_bigram,prev_bigram_list,next_bigram,next_bigram_list,HECT,HECA
1812,24,an,an,DET,DT,27,det,111,O,serve,excellent,serve an excellent,"['serve', 'an', 'excellent']",serve an,"['serve', 'an']",an excellent,"['an', 'excellent']",0,0
1813,25,excellent,excellent,ADJ,JJ,27,amod,111,O,an,dinner,an excellent dinner,"['an', 'excellent', 'dinner']",an excellent,"['an', 'excellent']",excellent dinner,"['excellent', 'dinner']",0,0
1814,26,dinner,dinner,NOUN,NN,24,dobj,111,O,excellent,.,excellent dinner .,"['excellent', 'dinner', '.']",excellent dinner,"['excellent', 'dinner']",dinner .,"['dinner', '.']",0,0
1815,27,.,.,PUNCT,.,9,punct,111,O,dinner,I,dinner . I,"['dinner', '.', 'I']",dinner .,"['dinner', '.']",. I,"['.', 'I']",0,0
1816,0,I,I,PRON,PRP,2,nsubj,112,O,.,remember,. I remember,"['.', 'I', 'remember']",. I,"['.', 'I']",I remember,"['I', 'remember']",0,0
1817,1,remember,remember,VERB,VBP,0,ROOT,112,O,I,that,I remember that,"['I', 'remember', 'that']",I remember,"['I', 'remember']",remember that,"['remember', 'that']",0,0
1818,2,that,that,SCONJ,IN,5,mark,112,O,remember,he,remember that he,"['remember', 'that', 'he']",remember that,"['remember', 'that']",that he,"['that', 'he']",0,0
1819,3,he,he,PRON,PRP,5,nsubj,112,O,that,remarked,that he remarked,"['that', 'he', 'remarked']",that he,"['that', 'he']",he remarked,"['he', 'remarked']",0,0
1820,4,remarked,remark,VERB,VBD,2,ccomp,112,O,he,what,he remarked what,"['he', 'remarked', 'what']",he remarked,"['he', 'remarked']",remarked what,"['remarked', 'what']",0,0
1821,5,what,what,PRON,WP,9,det,112,O,remarked,a,remarked what a,"['remarked', 'what', 'a']",remarked what,"['remarked', 'what']",what a,"['what', 'a']",0,0
1822,6,a,a,DET,DT,9,det,112,O,what,queer,what a queer,"['what', 'a', 'queer']",what a,"['what', 'a']",a queer,"['a', 'queer']",0,0
1823,7,queer,queer,ADJ,JJ,9,amod,112,O,a,household,a queer household,"['a', 'queer', 'household']",a queer,"['a', 'queer']",queer household,"['queer', 'household']",0,0
1824,8,household,household,NOUN,NN,11,attr,112,O,queer,it,queer household it,"['queer', 'household', 'it']",queer household,"['queer', 'household']",household it,"['household', 'it']",0,0
1825,9,it,it,PRON,PRP,11,nsubj,112,O,household,was,household it was,"['household', 'it', 'was']",household it,"['household', 'it']",it was,"['it', 'was']",0,0
1826,10,was,be,AUX,VBD,5,ccomp,112,O,it,to,it was to,"['it', 'was', 'to']",it was,"['it', 'was']",was to,"['was', 'to']",0,0
1827,11,to,to,PART,TO,13,aux,112,O,was,find,was to find,"['was', 'to', 'find']",was to,"['was', 'to']",to find,"['to', 'find']",0,0
1828,12,find,find,VERB,VB,11,xcomp,112,O,to,in,to find in,"['to', 'find', 'in']",to find,"['to', 'find']",find in,"['find', 'in']",0,0
1829,13,in,in,ADP,IN,13,prep,112,O,find,the,find in the,"['find', 'in', 'the']",find in,"['find', 'in']",in the,"['in', 'the']",0,0
1830,14,the,the,DET,DT,16,det,112,O,in,heart,in the heart,"['in', 'the', 'heart']",in the,"['in', 'the']",the heart,"['the', 'heart']",0,0
1831,15,heart,heart,NOUN,NN,14,pobj,112,O,the,of,the heart of,"['the', 'heart', 'of']",the heart,"['the', 'heart']",heart of,"['heart', 'of']",0,0
1832,16,of,of,ADP,IN,16,prep,112,O,heart,Surrey,heart of Surrey,"['heart', 'of', 'Surrey']",heart of,"['heart', 'of']",of Surrey,"['of', 'Surrey']",0,0
1833,17,Surrey,Surrey,PROPN,NNP,17,pobj,112,O,of,",","of Surrey ,","['of', 'Surrey', ',']",of Surrey,"['of', 'Surrey']","Surrey ,","['Surrey', ',']",0,0
1834,18,",",",",PUNCT,",",11,punct,112,O,Surrey,and,"Surrey , and","['Surrey', ',', 'and']","Surrey ,","['Surrey', ',']",", and","[',', 'and']",0,0
1835,19,and,and,CCONJ,CC,11,cc,112,O,",",that,", and that","[',', 'and', 'that']",", and","[',', 'and']",and that,"['and', 'that']",0,0
1836,20,that,that,SCONJ,IN,23,mark,112,O,and,I,and that I,"['and', 'that', 'I']",and that,"['and', 'that']",that I,"['that', 'I']",0,0
1837,21,I,I,PRON,PRP,23,nsubj,112,O,that,agreed,that I agreed,"['that', 'I', 'agreed']",that I,"['that', 'I']",I agreed,"['I', 'agreed']",0,0
1838,22,agreed,agree,VERB,VBD,11,conj,112,O,I,with,I agreed with,"['I', 'agreed', 'with']",I agreed,"['I', 'agreed']",agreed with,"['agreed', 'with']",0,0
1839,23,with,with,ADP,IN,23,prep,112,O,agreed,him,agreed with him,"['agreed', 'with', 'him']",agreed with,"['agreed', 'with']",with him,"['with', 'him']",0,0
1840,24,him,he,PRON,PRP,24,pobj,112,O,with,",","with him ,","['with', 'him', ',']",with him,"['with', 'him']","him ,","['him', ',']",0,0
1841,25,",",",",PUNCT,",",23,punct,112,O,him,though,"him , though","['him', ',', 'though']","him ,","['him', ',']",", though","[',', 'though']",0,0
1842,26,though,though,SCONJ,IN,30,mark,112,O,",",it,", though it","[',', 'though', 'it']",", though","[',', 'though']",though it,"['though', 'it']",0,0
1843,27,it,it,PRON,PRP,30,nsubj,112,O,though,has,though it has,"['though', 'it', 'has']",though it,"['though', 'it']",it has,"['it', 'has']",0,0
1844,28,has,have,AUX,VBZ,30,aux,112,O,it,proved,it has proved,"['it', 'has', 'proved']",it has,"['it', 'has']",has proved,"['has', 'proved']",0,0
1845,29,proved,prove,VERB,VBN,23,advcl,112,O,has,a,has proved a,"['has', 'proved', 'a']",has proved,"['has', 'proved']",proved a,"['proved', 'a']",0,0
1846,30,a,a,DET,DT,34,det,112,O,proved,good,proved a good,"['proved', 'a', 'good']",proved a,"['proved', 'a']",a good,"['a', 'good']",0,0
1847,31,good,good,ADJ,JJ,33,amod,112,O,a,deal,a good deal,"['a', 'good', 'deal']",a good,"['a', 'good']",good deal,"['good', 'deal']",0,0
1848,32,deal,deal,NOUN,NN,34,compound,112,O,good,queerer,good deal queerer,"['good', 'deal', 'queerer']",good deal,"['good', 'deal']",deal queerer,"['deal', 'queerer']",0,0
1849,33,queerer,queerer,NOUN,NN,30,dobj,112,O,deal,than,deal queerer than,"['deal', 'queerer', 'than']",deal queerer,"['deal', 'queerer']",queerer than,"['queerer', 'than']",0,0
1850,34,than,than,SCONJ,IN,37,mark,112,O,queerer,I,queerer than I,"['queerer', 'than', 'I']",queerer than,"['queerer', 'than']",than I,"['than', 'I']",0,0
1851,35,I,I,PRON,PRP,37,nsubj,112,O,than,thought,than I thought,"['than', 'I', 'thought']",than I,"['than', 'I']",I thought,"['I', 'thought']",0,0
1852,36,thought,think,VERB,VBD,30,advcl,112,O,I,.,I thought .,"['I', 'thought', '.']",I thought,"['I', 'thought']",thought .,"['thought', '.']",0,0
1853,37,.,.,PUNCT,.,2,punct,112,O,thought,"""","thought . ""","['thought', '.', '""']",thought .,"['thought', '.']",". ""","['.', '""']",0,0
1854,0,"""","""",PUNCT,``,3,punct,113,O,.,I,". "" I","['.', '""', 'I']",". ""","['.', '""']",""" I","['""', 'I']",0,0
1855,1,I,I,PRON,PRP,3,nsubj,113,O,"""",drove,""" I drove","['""', 'I', 'drove']",""" I","['""', 'I']",I drove,"['I', 'drove']",0,0
1856,2,drove,drive,VERB,VBD,0,ROOT,113,O,I,to,I drove to,"['I', 'drove', 'to']",I drove,"['I', 'drove']",drove to,"['drove', 'to']",0,0
1857,3,to,to,ADP,IN,3,prep,113,O,drove,the,drove to the,"['drove', 'to', 'the']",drove to,"['drove', 'to']",to the,"['to', 'the']",0,0
1858,4,the,the,DET,DT,6,det,113,O,to,place,to the place,"['to', 'the', 'place']",to the,"['to', 'the']",the place,"['the', 'place']",0,0
1859,5,place,place,NOUN,NN,4,pobj,113,O,the,--,the place --,"['the', 'place', '--']",the place,"['the', 'place']",place --,"['place', '--']",0,0
1860,6,--,--,PUNCT,:,3,punct,113,O,place,about,place -- about,"['place', '--', 'about']",place --,"['place', '--']",-- about,"['--', 'about']",0,0
1861,7,about,about,ADV,RB,9,advmod,113,O,--,two,-- about two,"['--', 'about', 'two']",-- about,"['--', 'about']",about two,"['about', 'two']",0,0
1862,8,two,two,NUM,CD,10,nummod,113,O,about,miles,about two miles,"['about', 'two', 'miles']",about two,"['about', 'two']",two miles,"['two', 'miles']",0,0
1863,9,miles,mile,NOUN,NNS,11,npadvmod,113,O,two,on,two miles on,"['two', 'miles', 'on']",two miles,"['two', 'miles']",miles on,"['miles', 'on']",0,0
1864,10,on,on,ADP,IN,3,prep,113,O,miles,the,miles on the,"['miles', 'on', 'the']",miles on,"['miles', 'on']",on the,"['on', 'the']",0,0
1865,11,the,the,DET,DT,14,det,113,O,on,south,on the south,"['on', 'the', 'south']",on the,"['on', 'the']",the south,"['the', 'south']",0,0
1866,12,south,south,ADJ,JJ,14,amod,113,O,the,side,the south side,"['the', 'south', 'side']",the south,"['the', 'south']",south side,"['south', 'side']",0,0
1867,13,side,side,NOUN,NN,11,pobj,113,O,south,of,south side of,"['south', 'side', 'of']",south side,"['south', 'side']",side of,"['side', 'of']",0,0
1868,14,of,of,ADP,IN,14,prep,113,O,side,Esher,side of Esher,"['side', 'of', 'Esher']",side of,"['side', 'of']",of Esher,"['of', 'Esher']",0,0
1869,15,Esher,Esher,PROPN,NNP,15,pobj,113,O,of,.,of Esher .,"['of', 'Esher', '.']",of Esher,"['of', 'Esher']",Esher .,"['Esher', '.']",0,0
1870,16,.,.,PUNCT,.,3,punct,113,O,Esher,The,Esher . The,"['Esher', '.', 'The']",Esher .,"['Esher', '.']",. The,"['.', 'The']",0,0
1871,0,The,the,DET,DT,2,det,114,O,.,house,. The house,"['.', 'The', 'house']",. The,"['.', 'The']",The house,"['The', 'house']",0,0
1872,1,house,house,NOUN,NN,3,nsubj,114,O,The,was,The house was,"['The', 'house', 'was']",The house,"['The', 'house']",house was,"['house', 'was']",0,0
1873,2,was,be,AUX,VBD,0,ROOT,114,O,house,a,house was a,"['house', 'was', 'a']",house was,"['house', 'was']",was a,"['was', 'a']",0,0
1874,3,a,a,DET,DT,6,det,114,O,was,fair-sized,was a fair-sized,"['was', 'a', 'fair-sized']",was a,"['was', 'a']",a fair-sized,"['a', 'fair-sized']",0,0
1875,4,fair-sized,fair-sized,ADJ,JJ,6,amod,114,O,a,one,a fair-sized one,"['a', 'fair-sized', 'one']",a fair-sized,"['a', 'fair-sized']",fair-sized one,"['fair-sized', 'one']",0,0
1876,5,one,one,NOUN,NN,3,attr,114,O,fair-sized,",","fair-sized one ,","['fair-sized', 'one', ',']",fair-sized one,"['fair-sized', 'one']","one ,","['one', ',']",0,0
1877,6,",",",",PUNCT,",",3,punct,114,O,one,standing,"one , standing","['one', ',', 'standing']","one ,","['one', ',']",", standing","[',', 'standing']",0,0
1878,7,standing,stand,VERB,VBG,3,advcl,114,O,",",back,", standing back","[',', 'standing', 'back']",", standing","[',', 'standing']",standing back,"['standing', 'back']",0,0
1879,8,back,back,ADV,RB,8,advmod,114,O,standing,from,standing back from,"['standing', 'back', 'from']",standing back,"['standing', 'back']",back from,"['back', 'from']",0,0
1880,9,from,from,ADP,IN,9,prep,114,O,back,the,back from the,"['back', 'from', 'the']",back from,"['back', 'from']",from the,"['from', 'the']",0,0
1881,10,the,the,DET,DT,12,det,114,O,from,road,from the road,"['from', 'the', 'road']",from the,"['from', 'the']",the road,"['the', 'road']",0,0
1882,11,road,road,NOUN,NN,10,pobj,114,O,the,",","the road ,","['the', 'road', ',']",the road,"['the', 'road']","road ,","['road', ',']",0,0
1883,12,",",",",PUNCT,",",8,punct,114,O,road,with,"road , with","['road', ',', 'with']","road ,","['road', ',']",", with","[',', 'with']",0,0
1884,13,with,with,ADP,IN,8,prep,114,O,",",a,", with a","[',', 'with', 'a']",", with","[',', 'with']",with a,"['with', 'a']",0,0
1885,14,a,a,DET,DT,17,det,114,O,with,curving,with a curving,"['with', 'a', 'curving']",with a,"['with', 'a']",a curving,"['a', 'curving']",0,0
1886,15,curving,curving,NOUN,NN,17,compound,114,O,a,drive,a curving drive,"['a', 'curving', 'drive']",a curving,"['a', 'curving']",curving drive,"['curving', 'drive']",0,0
1887,16,drive,drive,NOUN,NN,14,pobj,114,O,curving,which,curving drive which,"['curving', 'drive', 'which']",curving drive,"['curving', 'drive']",drive which,"['drive', 'which']",0,0
1888,17,which,which,PRON,WDT,20,nsubjpass,114,O,drive,was,drive which was,"['drive', 'which', 'was']",drive which,"['drive', 'which']",which was,"['which', 'was']",0,0
1889,18,was,be,AUX,VBD,20,auxpass,114,O,which,banked,which was banked,"['which', 'was', 'banked']",which was,"['which', 'was']",was banked,"['was', 'banked']",0,0
1890,19,banked,bank,VERB,VBN,17,relcl,114,O,was,with,was banked with,"['was', 'banked', 'with']",was banked,"['was', 'banked']",banked with,"['banked', 'with']",0,0
1891,20,with,with,ADP,IN,20,prep,114,O,banked,high,banked with high,"['banked', 'with', 'high']",banked with,"['banked', 'with']",with high,"['with', 'high']",0,0
1892,21,high,high,ADJ,JJ,23,amod,114,O,with,evergreen,with high evergreen,"['with', 'high', 'evergreen']",with high,"['with', 'high']",high evergreen,"['high', 'evergreen']",0,0
1893,22,evergreen,evergreen,NOUN,NN,24,compound,114,O,high,shrubs,high evergreen shrubs,"['high', 'evergreen', 'shrubs']",high evergreen,"['high', 'evergreen']",evergreen shrubs,"['evergreen', 'shrubs']",0,0
1894,23,shrubs,shrub,NOUN,NNS,21,pobj,114,O,evergreen,.,evergreen shrubs .,"['evergreen', 'shrubs', '.']",evergreen shrubs,"['evergreen', 'shrubs']",shrubs .,"['shrubs', '.']",0,0
1895,24,.,.,PUNCT,.,3,punct,114,O,shrubs,It,shrubs . It,"['shrubs', '.', 'It']",shrubs .,"['shrubs', '.']",. It,"['.', 'It']",0,0
1896,0,It,it,PRON,PRP,2,nsubj,115,O,.,was,. It was,"['.', 'It', 'was']",. It,"['.', 'It']",It was,"['It', 'was']",0,0
1897,1,was,be,AUX,VBD,0,ROOT,115,O,It,an,It was an,"['It', 'was', 'an']",It was,"['It', 'was']",was an,"['was', 'an']",0,0
1898,2,an,an,DET,DT,7,det,115,O,was,old,was an old,"['was', 'an', 'old']",was an,"['was', 'an']",an old,"['an', 'old']",0,0
1899,3,old,old,ADJ,JJ,7,amod,115,O,an,",","an old ,","['an', 'old', ',']",an old,"['an', 'old']","old ,","['old', ',']",0,0
1900,4,",",",",PUNCT,",",7,punct,115,O,old,tumbledown,"old , tumbledown","['old', ',', 'tumbledown']","old ,","['old', ',']",", tumbledown","[',', 'tumbledown']",0,0
1901,5,tumbledown,tumbledown,VERB,VBN,7,amod,115,O,",",building,", tumbledown building","[',', 'tumbledown', 'building']",", tumbledown","[',', 'tumbledown']",tumbledown building,"['tumbledown', 'building']",0,0
1902,6,building,building,NOUN,NN,2,attr,115,O,tumbledown,in,tumbledown building in,"['tumbledown', 'building', 'in']",tumbledown building,"['tumbledown', 'building']",building in,"['building', 'in']",0,0
1903,7,in,in,ADP,IN,7,prep,115,O,building,a,building in a,"['building', 'in', 'a']",building in,"['building', 'in']",in a,"['in', 'a']",0,0
1904,8,a,a,DET,DT,11,det,115,O,in,crazy,in a crazy,"['in', 'a', 'crazy']",in a,"['in', 'a']",a crazy,"['a', 'crazy']",0,0
1905,9,crazy,crazy,ADJ,JJ,11,amod,115,O,a,state,a crazy state,"['a', 'crazy', 'state']",a crazy,"['a', 'crazy']",crazy state,"['crazy', 'state']",0,0
1906,10,state,state,NOUN,NN,8,pobj,115,O,crazy,of,crazy state of,"['crazy', 'state', 'of']",crazy state,"['crazy', 'state']",state of,"['state', 'of']",0,0
1907,11,of,of,ADP,IN,11,prep,115,O,state,disrepair,state of disrepair,"['state', 'of', 'disrepair']",state of,"['state', 'of']",of disrepair,"['of', 'disrepair']",0,0
1908,12,disrepair,disrepair,NOUN,NN,12,pobj,115,O,of,.,of disrepair .,"['of', 'disrepair', '.']",of disrepair,"['of', 'disrepair']",disrepair .,"['disrepair', '.']",0,0
1909,13,.,.,PUNCT,.,2,punct,115,O,disrepair,When,disrepair . When,"['disrepair', '.', 'When']",disrepair .,"['disrepair', '.']",. When,"['.', 'When']",0,0
1910,0,When,when,SCONJ,WRB,4,advmod,116,O,.,the,. When the,"['.', 'When', 'the']",. When,"['.', 'When']",When the,"['When', 'the']",0,0
1911,1,the,the,DET,DT,3,det,116,O,When,trap,When the trap,"['When', 'the', 'trap']",When the,"['When', 'the']",the trap,"['the', 'trap']",0,0
1912,2,trap,trap,NOUN,NN,4,nsubj,116,O,the,pulled,the trap pulled,"['the', 'trap', 'pulled']",the trap,"['the', 'trap']",trap pulled,"['trap', 'pulled']",0,0
1913,3,pulled,pull,VERB,VBD,20,advcl,116,O,trap,up,trap pulled up,"['trap', 'pulled', 'up']",trap pulled,"['trap', 'pulled']",pulled up,"['pulled', 'up']",0,0
1914,4,up,up,ADP,RP,4,prt,116,O,pulled,on,pulled up on,"['pulled', 'up', 'on']",pulled up,"['pulled', 'up']",up on,"['up', 'on']",0,0
1915,5,on,on,ADP,IN,4,prep,116,O,up,the,up on the,"['up', 'on', 'the']",up on,"['up', 'on']",on the,"['on', 'the']",0,0
1916,6,the,the,DET,DT,9,det,116,O,on,grass-grown,on the grass-grown,"['on', 'the', 'grass-grown']",on the,"['on', 'the']",the grass-grown,"['the', 'grass-grown']",0,0
1917,7,grass-grown,grass-grown,ADJ,JJ,9,amod,116,O,the,drive,the grass-grown drive,"['the', 'grass-grown', 'drive']",the grass-grown,"['the', 'grass-grown']",grass-grown drive,"['grass-grown', 'drive']",0,0
1918,8,drive,drive,NOUN,NN,6,pobj,116,O,grass-grown,in,grass-grown drive in,"['grass-grown', 'drive', 'in']",grass-grown drive,"['grass-grown', 'drive']",drive in,"['drive', 'in']",0,0
1919,9,in,in,ADP,IN,4,prep,116,O,drive,front,drive in front,"['drive', 'in', 'front']",drive in,"['drive', 'in']",in front,"['in', 'front']",0,0
1920,10,front,front,NOUN,NN,10,pobj,116,O,in,of,in front of,"['in', 'front', 'of']",in front,"['in', 'front']",front of,"['front', 'of']",0,0
1921,11,of,of,ADP,IN,11,prep,116,O,front,the,front of the,"['front', 'of', 'the']",front of,"['front', 'of']",of the,"['of', 'the']",0,0
1922,12,the,the,DET,DT,17,det,116,O,of,blotched,of the blotched,"['of', 'the', 'blotched']",of the,"['of', 'the']",the blotched,"['the', 'blotched']",0,0
1923,13,blotched,blotch,VERB,VBN,17,amod,116,O,the,and,the blotched and,"['the', 'blotched', 'and']",the blotched,"['the', 'blotched']",blotched and,"['blotched', 'and']",0,0
1924,14,and,and,CCONJ,CC,14,cc,116,O,blotched,weather-stained,blotched and weather-stained,"['blotched', 'and', 'weather-stained']",blotched and,"['blotched', 'and']",and weather-stained,"['and', 'weather-stained']",0,0
1925,15,weather-stained,weather-stained,ADJ,JJ,14,conj,116,O,and,door,and weather-stained door,"['and', 'weather-stained', 'door']",and weather-stained,"['and', 'weather-stained']",weather-stained door,"['weather-stained', 'door']",0,0
1926,16,door,door,NOUN,NN,12,pobj,116,O,weather-stained,",","weather-stained door ,","['weather-stained', 'door', ',']",weather-stained door,"['weather-stained', 'door']","door ,","['door', ',']",0,0
1927,17,",",",",PUNCT,",",20,punct,116,O,door,I,"door , I","['door', ',', 'I']","door ,","['door', ',']",", I","[',', 'I']",0,0
1928,18,I,I,PRON,PRP,20,nsubj,116,O,",",had,", I had","[',', 'I', 'had']",", I","[',', 'I']",I had,"['I', 'had']",0,0
1929,19,had,have,VERB,VBD,0,ROOT,116,O,I,doubts,I had doubts,"['I', 'had', 'doubts']",I had,"['I', 'had']",had doubts,"['had', 'doubts']",0,0
1930,20,doubts,doubt,NOUN,NNS,20,dobj,116,O,had,as,had doubts as,"['had', 'doubts', 'as']",had doubts,"['had', 'doubts']",doubts as,"['doubts', 'as']",0,0
1931,21,as,as,ADP,IN,20,prep,116,O,doubts,to,doubts as to,"['doubts', 'as', 'to']",doubts as,"['doubts', 'as']",as to,"['as', 'to']",0,0
1932,22,to,to,ADP,IN,22,prep,116,O,as,my,as to my,"['as', 'to', 'my']",as to,"['as', 'to']",to my,"['to', 'my']",0,0
1933,23,my,my,PRON,PRP$,25,poss,116,O,to,wisdom,to my wisdom,"['to', 'my', 'wisdom']",to my,"['to', 'my']",my wisdom,"['my', 'wisdom']",0,0
1934,24,wisdom,wisdom,NOUN,NN,23,pobj,116,O,my,in,my wisdom in,"['my', 'wisdom', 'in']",my wisdom,"['my', 'wisdom']",wisdom in,"['wisdom', 'in']",0,0
1935,25,in,in,ADP,IN,25,prep,116,O,wisdom,visiting,wisdom in visiting,"['wisdom', 'in', 'visiting']",wisdom in,"['wisdom', 'in']",in visiting,"['in', 'visiting']",0,0
1936,26,visiting,visit,VERB,VBG,26,pcomp,116,O,in,a,in visiting a,"['in', 'visiting', 'a']",in visiting,"['in', 'visiting']",visiting a,"['visiting', 'a']",0,0
1937,27,a,a,DET,DT,29,det,116,O,visiting,man,visiting a man,"['visiting', 'a', 'man']",visiting a,"['visiting', 'a']",a man,"['a', 'man']",0,0
1938,28,man,man,NOUN,NN,27,dobj,116,O,a,whom,a man whom,"['a', 'man', 'whom']",a man,"['a', 'man']",man whom,"['man', 'whom']",0,0
1939,29,whom,whom,PRON,WP,32,dobj,116,O,man,I,man whom I,"['man', 'whom', 'I']",man whom,"['man', 'whom']",whom I,"['whom', 'I']",0,0
1940,30,I,I,PRON,PRP,32,nsubj,116,O,whom,knew,whom I knew,"['whom', 'I', 'knew']",whom I,"['whom', 'I']",I knew,"['I', 'knew']",0,0
1941,31,knew,know,VERB,VBD,29,relcl,116,O,I,so,I knew so,"['I', 'knew', 'so']",I knew,"['I', 'knew']",knew so,"['knew', 'so']",0,0
1942,32,so,so,ADV,RB,34,advmod,116,O,knew,slightly,knew so slightly,"['knew', 'so', 'slightly']",knew so,"['knew', 'so']",so slightly,"['so', 'slightly']",0,0
1943,33,slightly,slightly,ADV,RB,32,advmod,116,O,so,.,so slightly .,"['so', 'slightly', '.']",so slightly,"['so', 'slightly']",slightly .,"['slightly', '.']",0,0
1944,34,.,.,PUNCT,.,20,punct,116,O,slightly,He,slightly . He,"['slightly', '.', 'He']",slightly .,"['slightly', '.']",. He,"['.', 'He']",0,0
1945,0,He,he,PRON,PRP,2,nsubj,117,O,.,opened,. He opened,"['.', 'He', 'opened']",. He,"['.', 'He']",He opened,"['He', 'opened']",0,0
1946,1,opened,open,VERB,VBD,0,ROOT,117,O,He,the,He opened the,"['He', 'opened', 'the']",He opened,"['He', 'opened']",opened the,"['opened', 'the']",0,0
1947,2,the,the,DET,DT,4,det,117,O,opened,door,opened the door,"['opened', 'the', 'door']",opened the,"['opened', 'the']",the door,"['the', 'door']",0,0
1948,3,door,door,NOUN,NN,2,dobj,117,O,the,himself,the door himself,"['the', 'door', 'himself']",the door,"['the', 'door']",door himself,"['door', 'himself']",0,0
1949,4,himself,himself,PRON,PRP,4,appos,117,O,door,",","door himself ,","['door', 'himself', ',']",door himself,"['door', 'himself']","himself ,","['himself', ',']",0,0
1950,5,",",",",PUNCT,",",2,punct,117,O,himself,however,"himself , however","['himself', ',', 'however']","himself ,","['himself', ',']",", however","[',', 'however']",0,0
1951,6,however,however,ADV,RB,2,advmod,117,O,",",",",", however ,","[',', 'however', ',']",", however","[',', 'however']","however ,","['however', ',']",0,0
1952,7,",",",",PUNCT,",",2,punct,117,O,however,and,"however , and","['however', ',', 'and']","however ,","['however', ',']",", and","[',', 'and']",0,0
1953,8,and,and,CCONJ,CC,2,cc,117,O,",",greeted,", and greeted","[',', 'and', 'greeted']",", and","[',', 'and']",and greeted,"['and', 'greeted']",0,0
1954,9,greeted,greet,VERB,VBD,2,conj,117,O,and,me,and greeted me,"['and', 'greeted', 'me']",and greeted,"['and', 'greeted']",greeted me,"['greeted', 'me']",0,0
1955,10,me,I,PRON,PRP,10,dobj,117,O,greeted,with,greeted me with,"['greeted', 'me', 'with']",greeted me,"['greeted', 'me']",me with,"['me', 'with']",0,0
1956,11,with,with,ADP,IN,10,prep,117,O,me,a,me with a,"['me', 'with', 'a']",me with,"['me', 'with']",with a,"['with', 'a']",0,0
1957,12,a,a,DET,DT,15,det,117,O,with,great,with a great,"['with', 'a', 'great']",with a,"['with', 'a']",a great,"['a', 'great']",0,0
1958,13,great,great,ADJ,JJ,15,amod,117,O,a,show,a great show,"['a', 'great', 'show']",a great,"['a', 'great']",great show,"['great', 'show']",0,0
1959,14,show,show,NOUN,NN,12,pobj,117,O,great,of,great show of,"['great', 'show', 'of']",great show,"['great', 'show']",show of,"['show', 'of']",0,0
1960,15,of,of,ADP,IN,15,prep,117,O,show,cordiality,show of cordiality,"['show', 'of', 'cordiality']",show of,"['show', 'of']",of cordiality,"['of', 'cordiality']",0,0
1961,16,cordiality,cordiality,NOUN,NN,16,pobj,117,O,of,.,of cordiality .,"['of', 'cordiality', '.']",of cordiality,"['of', 'cordiality']",cordiality .,"['cordiality', '.']",0,0
1962,17,.,.,PUNCT,.,2,punct,117,O,cordiality,I,cordiality . I,"['cordiality', '.', 'I']",cordiality .,"['cordiality', '.']",. I,"['.', 'I']",0,0
1963,0,I,I,PRON,PRP,3,nsubjpass,118,O,.,was,. I was,"['.', 'I', 'was']",. I,"['.', 'I']",I was,"['I', 'was']",0,0
1964,1,was,be,AUX,VBD,3,auxpass,118,O,I,handed,I was handed,"['I', 'was', 'handed']",I was,"['I', 'was']",was handed,"['was', 'handed']",0,0
1965,2,handed,hand,VERB,VBN,0,ROOT,118,O,was,over,was handed over,"['was', 'handed', 'over']",was handed,"['was', 'handed']",handed over,"['handed', 'over']",0,0
1966,3,over,over,ADP,RP,3,prt,118,O,handed,to,handed over to,"['handed', 'over', 'to']",handed over,"['handed', 'over']",over to,"['over', 'to']",0,0
1967,4,to,to,ADP,IN,3,prep,118,O,over,the,over to the,"['over', 'to', 'the']",over to,"['over', 'to']",to the,"['to', 'the']",0,0
1968,5,the,the,DET,DT,7,det,118,O,to,manservant,to the manservant,"['to', 'the', 'manservant']",to the,"['to', 'the']",the manservant,"['the', 'manservant']",0,0
1969,6,manservant,manservant,NOUN,NN,5,pobj,118,O,the,",","the manservant ,","['the', 'manservant', ',']",the manservant,"['the', 'manservant']","manservant ,","['manservant', ',']",0,0
1970,7,",",",",PUNCT,",",7,punct,118,O,manservant,a,"manservant , a","['manservant', ',', 'a']","manservant ,","['manservant', ',']",", a","[',', 'a']",0,0
1971,8,a,a,DET,DT,13,det,118,O,",",melancholy,", a melancholy","[',', 'a', 'melancholy']",", a","[',', 'a']",a melancholy,"['a', 'melancholy']",0,0
1972,9,melancholy,melancholy,ADJ,JJ,13,amod,118,O,a,",","a melancholy ,","['a', 'melancholy', ',']",a melancholy,"['a', 'melancholy']","melancholy ,","['melancholy', ',']",0,0
1973,10,",",",",PUNCT,",",13,punct,118,O,melancholy,swarthy,"melancholy , swarthy","['melancholy', ',', 'swarthy']","melancholy ,","['melancholy', ',']",", swarthy","[',', 'swarthy']",0,0
1974,11,swarthy,swarthy,ADJ,JJ,13,amod,118,O,",",individual,", swarthy individual","[',', 'swarthy', 'individual']",", swarthy","[',', 'swarthy']",swarthy individual,"['swarthy', 'individual']",0,0
1975,12,individual,individual,NOUN,NN,7,appos,118,O,swarthy,",","swarthy individual ,","['swarthy', 'individual', ',']",swarthy individual,"['swarthy', 'individual']","individual ,","['individual', ',']",0,0
1976,13,",",",",PUNCT,",",13,punct,118,O,individual,who,"individual , who","['individual', ',', 'who']","individual ,","['individual', ',']",", who","[',', 'who']",0,0
